 庍 BAI40000705e8d 07BAI400005e8d
 𡭢 BAI40000721b62 07BAI400021b62
 拝 BAI400008062dd 08BAI4000062dd
 败 BAI40000808d25 08BAI400008d25
 𣧙 BAI400008239d9 08BAI4000239d9
 䒔 BAI40000804494 08BAI400004494
 𤙅 BAI40000924645 09BAI400024645
 拜 BAI400009062dc 09BAI4000062dc
 𢈕 BAI40000922215 09BAI400022215
 䢙 BAI40001104899 11BAI400004899
 敗 BAI40001106557 11BAI400006557
 棑 BAI400012068d1 12BAI4000068d1
 㗑 BAI400012035d1 12BAI4000035d1
 稗 BAI40001307a17 13BAI400007a17
 蛽 BAI400013086fd 13BAI4000086fd
 𣺽 BAI40001323ebd 13BAI400023ebd
 𦳞 BAI40001326cde 13BAI400026cde
 𤽹 BAI40001324f79 13BAI400024f79
 𦩋 BAI40001426a4b 14BAI400026a4b
 𡏯 BAI400014213ef 14BAI4000213ef
 粺 BAI40001407cba 14BAI400007cba
 㠔 BAI40001603814 16BAI400003814
 𩎻 BAI400017293bb 17BAI4000293bb
 𩋂 BAI400017292c2 17BAI4000292c2
 贁 BAI40001808d01 18BAI400008d01
 𤁣 BAI40001824063 18BAI400024063
 薜 BAI4000190859c 19BAI40000859c
 䴽 BAI40001904d3d 19BAI400004d3d
 鞴 BAI400019097b4 19BAI4000097b4
 𩏞 BAI400020293de 20BAI4000293de
 𠚼 BAN100006206bc 06BAN1000206bc
 扳 BAN10000706273 07BAN100006273
 𠦒 BAN10000720992 07BAN100020992
 𣪂 BAN10000823a82 08BAN100023a82
 朌 BAN1000080670c 08BAN10000670c
 肦 BAN100008080a6 08BAN1000080a6
 攽 BAN1000080653d 08BAN10000653d
 𤫫 BAN10000924aeb 09BAN100024aeb
 般 BAN1000100822c 10BAN10000822c
 班 BAN100010073ed 10BAN1000073ed
 颁 BAN10001009881 10BAN100009881
 𥹓 BAN10001125e53 11BAN100025e53
 斑 BAN10001206591 12BAN100006591
 𤦦 BAN100012249a6 12BAN1000249a6
 𠺚 BAN10001320e9a 13BAN100020e9a
 斒 BAN10001306592 13BAN100006592
 𦎊 BAN1000132638a 13BAN10002638a
 搬 BAN1000130642c 13BAN10000642c
 頒 BAN10001309812 13BAN100009812
 𠔯 BAN1000142052f 14BAN10002052f
 𩿉 BAN10001529fc9 15BAN100029fc9
 𤡰 BAN10001524870 15BAN100024870
 瘢 BAN10001507622 15BAN100007622
 𪉒 BAN1000152a252 15BAN10002a252
 螌 BAN1000160878c 16BAN10000878c
 𧇥 BAN100016271e5 16BAN1000271e5
 褩 BAN10001608929 16BAN100008929
 𤳖 BAN10001724cd6 17BAN100024cd6
 癍 BAN1000170764d 17BAN10000764d
 虨 BAN10001708668 17BAN100008668
 辬 BAN10001808fac 18BAN100008fac
 𩔮 BAN1000192952e 19BAN10002952e
 𨭉 BAN10002028b49 20BAN100028b49
 𪄕 BAN1000212a115 21BAN10002a115
 𪒋 BAN1000222a48b 22BAN10002a48b
